year,waste
2010-11,325.3
2010-11,345.4
2010-11,360.0
2010-11,318.7
2010-11,373.7
2010-11,370.7
2010-11,414.7
2010-11,384.8
2010-11,363.5
2010-11,310.8
2010-11,401.7
2010-11,367.5
2010-11,324.9
2010-11,382.0
2010-11,326.1
2010-11,379.4
2010-11,384.2
2010-11,323.0
2010-11,413.0
2010-11,322.3
2010-11,322.1
2010-11,335.5
2010-11,333.7
2010-11,352.7
2010-11,323.6
2010-11,407.1
2010-11,312.0
2010-11,391.7
2010-11,341.6
2010-11,391.5
2010-11,340.9
2010-11,295.4
2010-11,337.0
2010-11,402.2
2010-11,315.9
2010-11,346.7
2010-11,378.5
2010-11,367.9
2010-11,366.4
2010-11,357.4
2010-11,331.7
2010-11,383.6
2010-11,339.8
2010-11,342.6
2010-11,317.6
2010-11,434.7
2010-11,447.0
2010-11,329.1
2010-11,311.8
2010-11,404.9
2010-11,411.7
2010-11,339.0
2010-11,370.7
2010-11,359.3
2010-11,398.8
2010-11,479.6
2010-11,476.4
2010-11,461.1
2010-11,490.4
2010-11,436.8
2010-11,464.8
2010-11,497.3
2010-11,436.9
2010-11,409.8
2010-11,526.4
2010-11,465.8
2010-11,486.9
2010-11,383.0
2010-11,427.9
2010-11,420.4
2010-11,386.6
2010-11,517.0
2010-11,478.0
2010-11,447.3
2011-12,321.3
2011-12,333.3
2011-12,347.5
2011-12,313.4
2011-12,360.6
2011-12,344.2
2011-12,406.1
2011-12,373.7
2011-12,355.8
2011-12,286.9
2011-12,376.7
2011-12,331.2
2011-12,313.7
2011-12,373.2
2011-12,319.6
2011-12,380.6
2011-12,370.6
2011-12,315.4
2011-12,375.5
2011-12,305.4
2011-12,312.2
2011-12,331.1
2011-12,327.0
2011-12,340.0
2011-12,321.8
2011-12,409.0
2011-12,294.0
2011-12,350.5
2011-12,339.0
2011-12,377.0
2011-12,332.5
2011-12,288.7
2011-12,340.9
2011-12,391.6
2011-12,303.0
2011-12,332.6
2011-12,367.4
2011-12,342.0
2011-12,369.1
2011-12,347.7
2011-12,328.5
2011-12,363.4
2011-12,344.5
2011-12,346.7
2011-12,329.4
2011-12,402.8
2011-12,425.6
2011-12,323.9
2011-12,300.2
2011-12,402.3
2011-12,399.9
2011-12,324.8
2011-12,372.7
2011-12,356.6
2011-12,390.2
2011-12,471.6
2011-12,464.7
2011-12,450.5
2011-12,465.4
2011-12,422.7
2011-12,451.9
2011-12,481.9
2011-12,429.6
2011-12,385.0
2011-12,480.8
2011-12,445.1
2011-12,445.8
2011-12,367.8
2011-12,408.0
2011-12,383.8
2011-12,355.3
2011-12,506.3
2011-12,467.4
2011-12,422.5
2012-13,326.5
2012-13,337.9
2012-13,339.7
2012-13,307.4
2012-13,343.4
2012-13,357.6
2012-13,402.9
2012-13,339.8
2012-13,342.1
2012-13,284.8
2012-13,359.3
2012-13,280.9
2012-13,306.3
2012-13,364.8
2012-13,302.4
2012-13,389.2
2012-13,364.6
2012-13,312.8
2012-13,365.9
2012-13,292.2
2012-13,302.2
2012-13,322.1
2012-13,322.2
2012-13,322.1
2012-13,308.4
2012-13,370.5
2012-13,292.8
2012-13,332.2
2012-13,320.6
2012-13,382.5
2012-13,327.3
2012-13,299.7
2012-13,345.6
2012-13,386.3
2012-13,321.5
2012-13,323.8
2012-13,360.5
2012-13,335.8
2012-13,356.2
2012-13,342.3
2012-13,325.5
2012-13,365.0
2012-13,331.8
2012-13,325.8
2012-13,334.2
2012-13,395.3
2012-13,394.0
2012-13,322.5
2012-13,306.8
2012-13,390.2
2012-13,412.3
2012-13,314.8
2012-13,345.5
2012-13,343.7
2012-13,363.4
2012-13,451.4
2012-13,449.2
2012-13,431.8
2012-13,441.1
2012-13,423.9
2012-13,441.2
2012-13,460.3
2012-13,434.1
2012-13,370.0
2012-13,484.2
2012-13,444.4
2012-13,435.6
2012-13,365.5
2012-13,397.5
2012-13,338.1
2012-13,373.9
2012-13,498.2
2012-13,484.4
2012-13,403.9
2013-14,329.8
2013-14,341.4
2013-14,323.7
2013-14,310.4
2013-14,346.4
2013-14,360.1
2013-14,403.1
2013-14,345.6
2013-14,341.6
2013-14,288.6
2013-14,359.0
2013-14,295.6
2013-14,311.0
2013-14,363.1
2013-14,304.8
2013-14,403.1
2013-14,375.3
2013-14,312.0
2013-14,363.9
2013-14,287.8
2013-14,307.6
2013-14,349.4
2013-14,329.6
2013-14,339.4
2013-14,309.9
2013-14,392.2
2013-14,295.9
2013-14,352.2
2013-14,308.2
2013-14,396.0
2013-14,331.0
2013-14,291.8
2013-14,341.4
2013-14,389.4
2013-14,315.7
2013-14,324.6
2013-14,366.7
2013-14,320.6
2013-14,360.1
2013-14,346.4
2013-14,342.5
2013-14,347.4
2013-14,349.8
2013-14,334.9
2013-14,329.1
2013-14,406.2
2013-14,406.3
2013-14,329.3
2013-14,324.1
2013-14,376.0
2013-14,411.7
2013-14,316.6
2013-14,365.0
2013-14,355.6
2013-14,384.0
2013-14,465.0
2013-14,456.2
2013-14,445.2
2013-14,445.5
2013-14,428.3
2013-14,463.8
2013-14,477.6
2013-14,430.1
2013-14,367.6
2013-14,499.0
2013-14,454.9
2013-14,456.6
2013-14,367.9
2013-14,375.7
2013-14,351.0
2013-14,379.2
2013-14,521.0
2013-14,472.2
2013-14,460.4
2014-15,345.6
2014-15,346.8
2014-15,332.1
2014-15,303.4
2014-15,346.9
2014-15,350.2
2014-15,411.8
2014-15,367.2
2014-15,370.7
2014-15,284.2
2014-15,345.0
2014-15,293.0
2014-15,305.7
2014-15,366.9
2014-15,313.2
2014-15,398.6
2014-15,379.9
2014-15,306.7
2014-15,361.6
2014-15,284.4
2014-15,308.0
2014-15,353.5
2014-15,332.4
2014-15,349.0
2014-15,310.9
2014-15,403.6
2014-15,296.7
2014-15,351.6
2014-15,334.7
